,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
09/08/2015 16:15:33,9.2427845,18.4615364,19.9999981,13.0769253,15.1953106,47,46,48,44,48,2294.80444,2294.80444,2294.80444,2294.80444,22.18021,13.9947443,0.0006031541,2.3519392,99.7741,13.7719193,2.19117355,13.7192688,39,44.5665932
09/08/2015 16:15:34,7.69230747,28.46154,10.0000019,14.6153812,15.1923065,49,54,51,45,54,3691.64014,3691.64014,3691.64014,3691.64014,22.2733974,14.1531925,0.0005428387,2.43270159,99.7740555,13.8501816,2.20362473,13.7068176,39,44.5665932
09/08/2015 16:15:35,11.5384579,21.53846,13.8461533,14.6153812,15.3846149,47,48,51,53,53,3691.64282,3691.64282,3791.417,3691.64282,28.3018017,18.7901211,0.0007841004,2.504658,99.77413,13.890625,2.21006012,13.7003822,39,44.5665932
09/08/2015 16:15:36,3.076923,9.230768,19.23077,26.1538448,14.4230785,49,50,53,52,53,3691.642,3691.642,3791.41626,3691.642,27.6119747,18.2405872,0.000663469546,2.51111174,99.77411,13.7979584,2.19531631,13.715126,39,44.5665932
09/08/2015 16:15:37,9.230768,14.6153812,3.8461566,27.6923065,13.8461533,52,48,49,47,52,3791.41431,3691.64038,3791.41431,3691.64038,26.1235714,16.5392113,0.000723784964,2.481738,99.77406,13.823204,2.19933319,13.7111092,39,44.5665932
09/08/2015 16:15:38,15.3846149,26.1538448,11.5384579,10.0000019,15.7692318,49,55,52,44,55,3691.64282,3691.64282,3691.64282,3691.64282,27.8690987,18.5265427,0.0009047312,2.49705815,99.77413,13.8009033,2.19578552,13.7146568,39,44.5665932
09/08/2015 16:15:39,17.6923027,23.84615,8.4615345,13.0769253,15.7692318,54,49,50,43,54,3691.642,3691.642,3691.642,3691.642,27.6803722,18.3583832,0.000723784964,2.502788,99.77412,13.8649445,2.20597458,13.7044678,39,44.5665932
09/08/2015 16:15:40,10.0000019,26.9230785,10.0000019,16.1538486,15.7692251,52,50,50,47,52,3791.41528,3691.641,3691.641,3691.641,28.147213,18.6928329,0.0007841004,2.49555016,99.774086,13.8270416,2.19994354,13.7104988,39,44.5665932
09/08/2015 16:15:41,26.9230785,13.8461533,7.69230747,10.0000019,14.6153812,52,55,54,51,55,3691.64258,3691.64258,3691.64258,3691.64258,27.8911133,18.3887215,0.0005428387,2.486322,99.7741241,13.8482819,2.20332336,13.707119,39,44.5665932
09/08/2015 16:15:42,6.92307949,18.4615364,14.6153812,11.5384579,12.8846169,48,55,50,47,55,3691.6416,3691.6416,3691.6416,3691.6416,25.5389328,15.9031839,0.00024126166,2.44174886,99.77409,13.7425537,2.18650055,13.7239418,39,44.5665932
09/08/2015 16:15:43,19.9999981,9.230768,18.4615364,16.1538486,15.9615335,48,54,51,47,54,3691.6416,3691.6416,3691.6416,3691.6416,28.4279823,18.7961521,0.000663469546,2.48203969,99.7741,13.8684235,2.20652771,13.7039146,39,44.5665932
09/08/2015 16:15:44,16.9230766,10.76923,11.5384579,23.0769215,15.5769234,49,56,53,45,56,3691.64233,3691.64233,3392.31982,3392.31982,27.7134247,18.2040367,0.0005428387,2.55695128,99.77412,13.8474274,2.203186,13.7072563,39,44.5665932
09/08/2015 16:15:45,14.6153812,13.8461533,17.6923027,16.9230766,15.7692251,48,48,52,50,52,3392.319,3392.319,798.1927,798.1927,22.2622986,14.1112738,0.0033776632,2.38800788,99.774086,13.7155533,2.1822052,13.7282372,39,44.5665932
09/08/2015 16:15:46,10.0000019,11.5384579,15.3846149,12.3076916,12.3076916,53,57,52,45,57,3691.642,3691.642,3691.642,3691.642,21.24514,13.318428,0.0004222079,2.3371017,99.77411,13.834877,2.201191,13.7092514,39,44.5665932
09/08/2015 16:15:47,12.3076916,9.230768,9.230768,20.7692261,12.8846169,53,49,51,44,52,3691.64233,3791.4165,3791.4165,3691.64233,24.5389652,15.0308428,0.000663469546,2.470459,99.77412,13.936348,2.21733475,13.6931076,39,44.5665932
09/08/2015 16:15:48,13.0769253,20.7692261,9.230768,18.4615364,15.3846149,48,55,52,45,55,3691.64185,3691.64185,3691.64185,3691.64185,26.1365986,16.6664162,0.0004222079,2.482462,99.7741,13.803978,2.1962738,13.7141685,39,44.5665932
